Make, Year, Count, Average Price, Mean Price, StdDev Price, Median Price, Price Variance
Други, 2023, 2, 5245, 5245, 5245, 5245, 0.237
Balkan, 2023, 1, 3500, 3500, 3500, 3500, 0.000
Barton, 2023, 1, 3999, 3999, 3999, 3999, 0.000
Barton, 2024, 2, 3990, 3990, 3990, 3990, 0.175
Bashan, 2024, 1, 5690, 5690, 5690, 5690, 0.000
Benelli, 2020, 1, 5700, 5700, 5700, 5700, 0.000
Beta, 2024, 1, 4650, 4650, 4650, 4650, 0.000
Cfmoto, 2023, 1, 3900, 3900, 3900, 3900, 0.000
GASGAS, 2021, 5, 10960, 10100, 9825, 9800, 0.216
GASGAS, 2022, 4, 10447, 10447, 10400, 10400, 0.110
GASGAS, 2023, 11, 10645, 10400, 10360, 12500, 0.403
GASGAS, 2024, 5, 17266, 18093, 18093, 18290, 0.314
Honda, 2006, 4, 5475, 5475, 5600, 5600, 0.076
Honda, 2007, 6, 4950, 4950, 4950, 4950, 0.125
Honda, 2008, 5, 4820, 4833, 4833, 4700, 0.176
Honda, 2009, 4, 5116, 5116, 5150, 5150, 0.062
Honda, 2010, 2, 5950, 5950, 5950, 5950, 0.008
Honda, 2012, 14, 6038, 6033, 5953, 6000, 0.071
Honda, 2013, 4, 6518, 6518, 6400, 6400, 0.102
Honda, 2014, 4, 6662, 6662, 6500, 6500, 0.096
Honda, 2015, 2, 7250, 7250, 7250, 7250, 0.034
Honda, 2016, 6, 7233, 7125, 7040, 7000, 0.074
Honda, 2017, 4, 9039, 9039, 9419, 9329, 0.074
Honda, 2018, 5, 9130, 8283, 8038, 7700, 0.256
Honda, 2019, 8, 9531, 9458, 9050, 9050, 0.150
Honda, 2020, 4, 10175, 10175, 10500, 10450, 0.056
Honda, 2021, 6, 10350, 10125, 10125, 10000, 0.140
Honda, 2022, 4, 13275, 13275, 13150, 13150, 0.055
Honda, 2023, 3, 15833, 15833, 14999, 14999, 0.074
Husqvarna, 2012, 1, 5000, 5000, 5000, 5000, 0.000
Husqvarna, 2014, 1, 7300, 7300, 7300, 7300, 0.000
Husqvarna, 2015, 3, 6297, 6297, 6550, 6500, 0.057
