17.4.2024 г.
Make,Year,Count,Variance
Други,2023,2,0.237
GASGAS,2021,5,0.200
GASGAS,2023,12,0.391
GASGAS,2024,5,0.314
Honda,2018,5,0.256
Husqvarna,2020,5,0.229
Husqvarna,2022,4,0.272
Husqvarna,2024,2,0.621
Kawasaki,2021,2,0.338
Kawasaki,2023,3,0.280
Ktm,2011,8,0.241
Ktm,2013,6,0.208
Ktm,2014,13,0.195
Ktm,2017,21,0.243
Ktm,2020,13,0.292
Yamaha,2012,5,0.233
Yamaha,2019,9,0.205
Yamaha,2021,6,0.318
Make,Year,Count,Range
Други , 2023,2,2491
GASGAS , 2021,5,6001
GASGAS , 2022,4,3010
GASGAS , 2023,12,11600
GASGAS , 2024,5,15750
Honda , 2008,6,2600
Honda , 2012,13,2500
Honda , 2013,5,2170
Honda , 2018,5,6200
Honda , 2019,8,4500
Honda , 2021,6,4200
Honda , 2023,3,2501
Husqvarna , 2016,4,3499
Husqvarna , 2017,9,3199
Husqvarna , 2018,9,4801
Husqvarna , 2020,5,5899
Husqvarna , 2021,2,3100
Husqvarna , 2022,4,7000
Husqvarna , 2023,4,5100
Husqvarna , 2024,2,11490
Kawasaki , 2015,7,3500
Kawasaki , 2019,3,2150
Kawasaki , 2020,7,5499
Kawasaki , 2021,2,4900
Kawasaki , 2023,3,4999
Ktm , 2006,4,3301
Ktm , 2008,4,2099
Ktm , 2009,5,2400
Ktm , 2011,8,4000
Ktm , 2012,12,3300
Ktm , 2013,6,2800
Ktm , 2014,13,3700
Ktm , 2015,10,3000
Ktm , 2016,10,4201
Ktm , 2017,21,8700
Ktm , 2018,17,5800
Ktm , 2019,22,6999
Ktm , 2020,13,9700
Ktm , 2021,7,4000
Ktm , 2022,6,3200
Ktm , 2023,5,7000
Suzuki , 2012,4,3200
Yamaha , 2012,5,4400
Yamaha , 2017,11,2900
Yamaha , 2018,6,4501
Yamaha , 2019,9,6650
Yamaha , 2021,6,10500
Yamaha , 2023,3,3450
Yamaha , 2024,2,2099
